,ratings,review
0,3,Nothing to say 💸READ MORE
1,5,GoodREAD MORE
2,5,GoodREAD MORE
3,5,I just loved it as I bought the phoneREAD MORE
4,5,AmazingREAD MORE
5,5,The best product value for moneyREAD MORE
6,5,NiceREAD MORE
7,4,Very niceREAD MORE
8,3,Sim not workedREAD MORE
9,4,"This device offers excellent features, however, it is not recommended for purchase due to the reduction in camera quality and battery life. Despite these drawbacks, the build quality is robust and superior to the latest iPhone model.READ MORE"
10,5,Everything is good Go for it Strongly recommended 🤗✌️🎈READ MORE
11,4,Very GoodREAD MORE
12,1,Bad productREAD MORE
13,5,I phone is batter than other phonesREAD MORE
14,5,BestttREAD MORE
15,3,"Great experience, Good product.READ MORE"
16,5,Device performance and camera clarity especially cinematic mode assume performance sound clarity Dolby Atmospheres in apple music songs 🫶 worthy for money.READ MORE
17,5,Best !READ MORE
18,4,Value for money good phoneREAD MORE
19,5,All Ok. Battery is also OK. Need not to worryREAD MORE
20,5,"It bought it 2 yrs back , at flipkart big billion days for 54kIts camera is not worth , there are better camera mobiles in android at even budget range than this , but still wil prefer this for  3 main reasons1) ios - its simple , neat and clean (u cant experience it even in samsung s series devices) and am getting timely software update even after 3yrs of its release and not even a single lag in this past 2 years2) resale value - it showed 35k just till before this 2024 big billion days ...READ MORE"
21,5,This product very nice andREAD MORE
22,5,Reviewing after 1.5 years of purchase. Still works like a charmREAD MORE
23,5,Just amezing 🙂love itREAD MORE
24,2,Waste moneyREAD MORE
25,5,Good experience Excellent serviceREAD MORE
26,5,Its phone is amazing performance And photo click is perfect 👌👆READ MORE
27,4,battery life is not so good. it drained way too fast. rest of it is great.READ MORE
28,1,Worst after 2 yearsREAD MORE
29,5,Love itREAD MORE
30,1,Display got burst out green line after updatingREAD MORE
31,5,OkREAD MORE
32,4,Good qualityREAD MORE
33,5,I am using this phone for last 2 years. This is best phone I have seen in this range in terms of camera. It is still best and in competition with iphone 14 and 15.READ MORE
34,5,"Good product and good delivery, thanks FlipkartREAD MORE"
35,1,very bad experienceREAD MORE
36,5,goodREAD MORE
37,3,Good luckREAD MORE
38,5,Performance greatREAD MORE
39,4,GoREAD MORE
40,4,Camera is great Performing is greatI love this phoneREAD MORE
41,5,Excellent phoneREAD MORE
42,5,My favourite mobileREAD MORE
43,5,One of the best apple productsREAD MORE
44,5,OverallREAD MORE
45,5,As apple providesREAD MORE
46,1,"After one year of usage the phone screen went green, and job sheet generated for the phone says no physical damages presentREAD MORE"
47,5,Amazing device over all performes better than other devicREAD MORE
48,5,SupperREAD MORE
49,5,AmazingREAD MORE
50,5,Loved with the product very nice device in 2024 alsoREAD MORE
51,5,"I m loving it, Great product and money worthREAD MORE"
52,5,Nice oneREAD MORE
53,5,All goodREAD MORE
54,5,Amazin user interfaceREAD MORE
55,5,Switched to apple and no regretsREAD MORE
56,5,GoodREAD MORE
57,5,Awesome phoREAD MORE
58,5,Awesome haiREAD MORE
59,5,Camera quality is very goodREAD MORE
60,5,This the best iphone version from 12 till 15..READ MORE
61,5,First iPhone.amazinhREAD MORE
62,5,Amazing 😻READ MORE
63,4,"Excellent phone, only battery backup low.READ MORE"
64,4,Awesome phoneREAD MORE
65,5,Nice product ￼READ MORE
66,1,"I got the product, but its not working. Trying to power on, its still no response. Charged in more tha hrs. Still same issuesREAD MORE"
67,5,Amazing love u iPhone13READ MORE
68,1,Got green line after software update just after warranty period. I checked forum there is a lot of people with same issue.Apple Service says pay 24000 to 28000 to change Display for issue Caused by their Software update 17.6.1 which is said as critical security fix update. Lol they send critical Security fix and Updating causes green screen and replace screen every time they send updates ? Go for a quality android device one plus and other brands gives screen replacement.READ MORE
69,1,Stopped working after a year.READ MORE
70,5,Very niceREAD MORE
71,5,Amazing as usual iphone👌😍 Camara awesome battery is OK okREAD MORE
72,4,GoodREAD MORE
73,5,camera NiceREAD MORE
74,3,GoodREAD MORE
75,5,GreatREAD MORE
76,5,LovelyREAD MORE
77,5,Everything thing is ok except battery backup. It can be improvedREAD MORE
78,5,Nice productREAD MORE
79,5,Good midnight I love this device.READ MORE
80,5,Looking like a wowREAD MORE
81,5,I love it osm camera just like wowREAD MORE
82,5,Superb phone👍👍READ MORE
83,5,ExcellentREAD MORE
84,5,Thanks FlipkartREAD MORE
85,4,It my first time very good productREAD MORE
86,3,Best prodouctREAD MORE
87,5,Nice ok raushan kumar raj Morning King   IFCREAD MORE
88,5,goodREAD MORE
89,5,GoodREAD MORE
90,5,Amazing performanceREAD MORE
91,5,I am so happy my husband gifted to meREAD MORE
92,2,Found some issues1. intermittent incoming and outgoing voice is not working2. I am Unable to talk during speaker on 3. Space is fully and no option is available for update4. Maximum time screen auto lock.user irritatedREAD MORE
93,5,Very niceREAD MORE
94,5,My first iphone ever. Midnight color is awesome. Performance is amazing. Overall i really liked the device.READ MORE
95,2,Camera quality poorREAD MORE
96,5,Wonderful mobile.. Loving a lotCamera: Best in the marketBattery: Last more than 1 day for normal usersREAD MORE
