,ratings,review
0,1,iPhone 13 bed iPhone quality 😒READ MORE
1,1,Too much signal issue arising /Signal IC problem or Repaired model sentHeating problem observed only Best in camera remaining all not satisfied 👎🏼READ MORE
2,1,Very costly iphone 13. Not value for money.READ MORE
3,1,"worst decision to buy from flipkart , they give away those products which have some issues with it. Within 1 year my iphone 13's display was fully stropped working and no one even from apple support helped me with that.READ MORE"
4,1,"Don't buy iPhone from Flipkart. They sell defective products which has already undergone some minor repair work, a kind of refurbished. iphone to which I have purchased from Flipkart doesn't even last for 2 year, many issues like battery heat, less touch responsive, occasional not working of wifi and Bluetooth like this many issues have started.READ MORE"
5,1,Not good phone es hitREAD MORE
6,1,BadREAD MORE
7,1,Worths smartphone ever bought camera got degrade in just 1 monthREAD MORE
8,1,Health Reduce 4 percent in just one MonthREAD MORE
9,1,GoodREAD MORE
10,1,Mobile was not on after new update recived on 25 Jan 2024. Now mobile not in warranty so apple will not replace with new one. So my total money waste because of apple new update. Do not by this mobile.READ MORE
11,1,Heating Problem after  1 Month Use.READ MORE
12,1,very badREAD MORE
13,1,After use of I phone 13 from previous 7 month My review Low quality phone I have ever seen camera average and battery quality very poor in 7 month 92% health remaining. Required Charge two time in a day. Finally I realised I phone is a show off phone quality not maintain.READ MORE
14,1,SuperREAD MORE
15,1,Product is good but EMI transaction not given after bill generate  flipkart  is not good for purching  any productREAD MORE
16,1,My Iphone's motherboard got damaged just within 1 year 8 months. this is so disappointing. Never going to buy an IphoneREAD MORE
17,1,Don't buy in flip kartREAD MORE
18,1,Bettry quality veer poor 3 month Bettry percentage down I hate this productREAD MORE
19,1,Worst experience by FlipkartREAD MORE
20,1,Bad product from a trillion dollar companyREAD MORE
21,1,Very. Bad experienceREAD MORE
22,1,Phone is heating from side after using 2 mntsREAD MORE
23,1,After 7 month use battery is going to die. I have to charge 3 times in the dayREAD MORE
24,1,I bought this iPhone 13 before big billion day and phone charging drained completely after that its not switching on even if I charged for more than 10 times. It's a big disappointment.READ MORE
25,1,Veer veer badREAD MORE
26,1,Phone is having heating issueREAD MORE
27,1,iphone 13 overheating VERY BADREAD MORE
28,1,Automatically restart Every few minutes. Worst Product ever.READ MORE
29,1,My i phone after 12 days this screen not working auto back to home and hanging issue or ..camera not working 😭 very bad product don't buyREAD MORE
30,1,Phone is good but the packing is worstREAD MORE
31,1,Not badREAD MORE
32,1,"Taking money for the brand. Not having basic features like shortcut dailing, prediction of contact number, histry capacity of dailing is low battery capacity etcREAD MORE"
33,1,After 3-4 days its feels like burden because its not that good like Android..  in this price range u can buy better AndroidREAD MORE
34,1,The product is goodBut customer service is very very bad it took 2week to deliver  no response for seller also with the customer serviceREAD MORE
35,1,"Worst experience of using a phone. Battery drains too quickly, phone heats up extremely and also the phone hangs while using many apps. Restarting the phone and again is also irritating. Never recommend it to anymore go for one plusREAD MORE"
36,1,Please improve battery healthREAD MORE
37,1,Worest phone please buy Android don't buy iPhone's it's a wastage of moneyREAD MORE
38,1,Battery 🔋 damageREAD MORE
39,1,Third classREAD MORE
40,1,Third classREAD MORE
41,1,Screen blinks sometime.READ MORE
42,1,"Worst experience, failed in comparison of android as no active TrueCaller for calls, call limit history to 100 calls, onpy 5 gb data storage, no charger, senseless its better to buy other brands at this rangeREAD MORE"
43,1,Showing alot of heating effect on chargingREAD MORE
44,1,"Not worthy, worst touch response, not user friendly at allREAD MORE"
45,1,Useless product from apple. Touch not working properly after ios 16 update. Had to hard press while typingREAD MORE
46,1,Price is very high according to features and design.READ MORE
47,1,Very very poor QualityREAD MORE
48,1,"The delivery boy is very rude he was not picking up the phone and not delivered the item as per the schedule I have to went the ekart office and taken my parcel,this was not expecting from Flipkart.READ MORE"
49,1,"Phone heating too much , it has some problem and not performing well due to heating issueREAD MORE"
50,1,Paint is chips the battery drain faster then normalREAD MORE
51,1,Only Camera is Good. Battery IssuesChanging issues Heating issues Display issues Performance issues The issues are created after an year.Overall Bad experience.READ MORE
52,1,Bad battery packREAD MORE
53,1,Access heating issue in iPhone 13READ MORE
54,1,Battery very poorREAD MORE
55,1,Overheat when goes to outside even in winter'sPerformance is goodCamera is goodBattery performance is not so goodREAD MORE
56,1,with in a month the touch got stoppedREAD MORE
57,1,First iPhone. Good camera and performance than some of the flagship android phones but WORST battery performance. Not a heavy user but the battery health has dropped to 93% within 1 year. That is seriously awful!READ MORE
58,1,"supplied bad product ,getting hot every timeREAD MORE"
59,1,Battery Health Decreasing to 90% within a yearPhone is Shutting down Anonymously any timePhone Screen get Hang Any timeREAD MORE
60,1,Product is good i giving 1star because of flipkart bad servicesREAD MORE
61,1,I think 🤔 in chaina phoneREAD MORE
62,1,Camera have problem of dots creating in pictureREAD MORE
63,1,Mobile gets heated Battery back up not goodREAD MORE
64,1,Severe Heating issue...battery draining very fast on very nominal use. Worst phoneREAD MORE
65,1,"Worst mobile at this price. Heating issue, hangs after few minutes of gameplay. Not user friendly.READ MORE"
66,1,if you forgot your password accidentally then I have to be erased no one can restore unless it is backed up on icloud which is very expensivealso there is no call recording available which is very important these days.Android is bestREAD MORE
67,1,I don't like this phone. Apple iphone performance has decreased drastically. Low battery backup video recording on 4k resolution is badREAD MORE
68,1,Worst exchange service by Flipkart.Request everyone purchase phone directly otherwise use exchange service of other platform.Ok minor scratches on back panel they deducted 1350rs.I got only 1500 for a 4G Handset.READ MORE
69,1,My usb cable not workingREAD MORE
70,1,Mic is not working properlyREAD MORE
71,1,Heating problem and sometimes hanging problem are the main issuesREAD MORE
72,1,"Unable to transfer photos, contactsREAD MORE"
73,1,Terrible product Device overheated and unable to onREAD MORE
74,1,back glass start cracking automaticalyREAD MORE
75,1,Really bad battery backup seems suspicious!READ MORE
76,1,"Battery is draining very fast and hanging during gaming , only one thing is good which is camera 😔😔😔😔😔😔READ MORE"
77,1,Battery Performance is too poor. Within 6 months Battery Percentage goes to 90%. And it Hangs too. Sometimes I am not able to receive calls due to hanging problems.READ MORE
78,1,Heating and lag issue  and graphic frame dropped problem when you using game andREAD MORE
79,1,product is awsomeREAD MORE
80,1,PoorREAD MORE
81,1,Pls dnt buy any premium mobile in online u can't change anythingREAD MORE
82,1,Just okay to useREAD MORE
83,1,Too much heatingREAD MORE
84,1,heating issueREAD MORE
85,1,facing display issueREAD MORE
86,1,Iphone is good but the delivery 😡😡😡🤬🤬🤬🤬😡😡 is not good it take more then 10 days please Flipkart improve your delivery 🙏🙏🙏READ MORE
87,1,Camera is not goodREAD MORE
88,1,Too  much costlyREAD MORE
89,1,Something bad with all the products from FlipkartREAD MORE
90,1,Only Camera is Good. Battery IssuesChanging issues Heating issues Display issues Performance issues The issues are created after an year.Overall Bad experience.READ MORE
91,1,I got a crappy product and then the invoice is also not getting downloaded. It shows that it is corrupted. On top of that the executive doesn't hv anything to support me and when I asked to change my email id they say I need to send my pan card on an email for the same. What kind of nonsense show are u guys running. The phone has gone bad in just 3 months not getting started only.READ MORE
92,1,Battery performance very poor 1 day 2 time chargesREAD MORE
93,1,Wrost phone ever... Isse achha Nokia 3310 leloREAD MORE
94,1,Very slow deviceREAD MORE
95,5,"Awesome battery backup amazing camera, a all day batter backup  improved and brilliant IOs 16.1 oled display dolby speakers and lot more, just close your eyes and go for it. One of the best handy smartphones ever and in great discount given by flipkart in big billion days 🔥READ MORE"
96,1,Battery performance is very poorREAD MORE
97,1,After 1 month the phone is deadREAD MORE
