,ratings,review
0,5,Pros-rear Camera is awesome.double speaker sound equal loud and base is superb display superb. Design also good.Battery back up superb.Cons-front camera is good not awesomeAfter switching from android you feel one minus point is the display notch .READ MORE
1,5,Too goodREAD MORE
2,5,Awesome phone Excellent camera qualityREAD MORE
3,5,Best of bestREAD MORE
4,5,Excellent mobile.. dream purchaseREAD MORE
5,5,"LOOK - Its my first love apple i phone 13, first time purchase this phone but its look awesome in white colour love it.  hand feel too much premium.CAMERA - Mind blowing camera performance font camera and rear cameras take too much awesome qualities pictures . Night mode is supergood low light performance impressed mePERFORMANCE - its bionic a15 chipset faster ,have 60hz refresh rate but its beatable 120hz DISPLAY - uts OLD XDR RETINA display too much good look display i get 10 of 10 for d...READ MORE"
6,5,Just amazingREAD MORE
7,5,Outstanding camera and performanceREAD MORE
8,5,Best phone in recent times I have used in my lifeREAD MORE
9,5,"Camera quality, performance, battery ,everything is up to mark.READ MORE"
10,5,Nice PhoneREAD MORE
11,5,Superb camera.nice performanceREAD MORE
12,5,Goooood. Loved it😍READ MORE
13,5,"Amazing phone with improved performance, good battery backup and stunning camera clearity. If you are looking for a power pack phone then just go for it. :)READ MORE"
14,5,"Amazing beast....As expected , didn't disappoint me,Had to sell hard chunk of kidneys to get it !!;pCamera quality is definitely a super upgradeBattery is super.. easily last throughout the day with heavy usage.Light weight looks stylish what else you need??Starlight color just wow!!!Apple it would have been better if you should  have given an adaptor. Increase 2k price and give it in box!!!Simple ....Edit 1 : After 14 days of usage highly satisfied with battery performance, Last thr...READ MORE"
15,5,Awesome camera..I m love  itREAD MORE
16,5,Nice upgrade!!Design superCamera is decentPerformance superBattery life is greatREAD MORE
17,5,Very good quality photos. Love it❤️READ MORE
18,5,ExcellentREAD MORE
19,5,"Reality is reality. Everything is working smooth, jist go for it without any hesitation. You won't be regret once you buy it.READ MORE"
20,5,Finally Switched from android. In hand feel is super amazing. Photos comes out very good. Stereo Speaker is loud and clear. Screen quality is wow i mean watching experience is super satisfying. And the haptics is also very good .READ MORE
21,5,Camera quality is awesome ❤️ love this phone .READ MORE
22,5,"Shifting from Android after 10 yearsCons in iphone or ios:1.Notification centre is a mess , many of notification you leave unread.2.No back gesture3.Camera unable to focus on small textCan't decline call when phone is locked4.Limited file sharing options5.File manager is useless as there is no app-linked folders6.Google apps syncing isn't that smooth , limited options for google drive.Pros in iphone or ios:1.No lag, every thing happens like snap2.Camera is so good3.Easily get fu...READ MORE"
23,5,very nice product camera quatily is super good i will switch from android to iphone i have very good experience .READ MORE
24,5,Awesome camera clarityREAD MORE
25,5,"It’s a camera and performance beast mobile no doubt, it feels premium in hand. It’s not that much value for money, I’d rather say no person buys apple products for value for money. Overall good product. Other than that it’s iPhone, go for it.READ MORE"
26,5,One of the best worth of money 💸💰READ MORE
