,ratings,review
0,5,Excellent 5g mobile phone in the budget range. The camera is good. Battery backup is good. Performance is also good.READ MORE
1,5,Good mobile very good I have buy this mobile in 12/256 very beautiful mobile but camera quality is ok ok medium 🔉 spekar is very good battery 🔋 drain fast  I have power charger  issue face this mobile but mobile is 10/08 rating ok ok mobile over all bast and nice mobile happy 😊😊 happy diwali 🎇🪔🪔🪔🪔READ MORE
2,5,"Nice phone I totally satisfy with realme 2 Pro and Flipkart great display 5 /5, battery 5/5 sound 5/5 camera 5/5 over all looks 5/5 mast bye recommendationREAD MORE"
3,5,Good and best ever real me seriesREAD MORE
4,5,stunning display and design is good but camera is not upto the mark.READ MORE
5,5,"This phone is amazing in all the aspect. I saw few complaints here regarding battery, to those people I just want to say that you should do battery calibration first before actually start using the phone. Fully drain the battery up until it switches off by itself and then charge fully. Do this 2 to 3 times only and you will notice that battery is lasting long now. Regarding camera, dude if you don't know how to use a good camera phone then please don't buy this. Camera is just amazing with to...READ MORE"
6,5,It's amazing especially for performance and the camera is 😊READ MORE
7,3,the camera quality is not up to the mark as it is lagging and pictures are not sharp.READ MORE
8,5,"The Realme P2 Pro 5G delivers an excellent mix of features for its price point. With its premium design, high-refresh-rate display, solidperformance, and fast charging, it's one of the best options in the midrange 5G segment. While the camera may not be flagship quality, it's more than capable for everydayphotography. Overall, the P2 Pro 5G is a great choice for users looking for a reliable 5G smartphone without breaking the bank.READ MORE"
9,5,mobile is good but camera is very poor its not evan like my real me 2pro camera if for camera dont buy rest every thing is good till now will update anyting elseREAD MORE
10,4,Good product realme p2 pro 👍READ MORE
11,5,Good comera good bettryREAD MORE
12,5,I love this product Realme P2 pro 5GHandsome CameraSuper performance Excellent battery powerWhat a great design..superbbbThanks Flipkart for delivery on time ...READ MORE
13,4,Display - Outstanding 4.9/5Power - Good 4.5/5Camera - I didn't expect much but It's Good 4.2/5Battery - Enough for 1.5 days after gaming also OS - Realme UI With Lot of AI featuresBack colour - Eagle Grey Looks Splendid Only Cons :Lacks a SD Card SlotLacks a Headphone jackREAD MORE
14,5,Realme P2 Pro 5G camera superREAD MORE
