,ratings,review
0,4,"1.5l of quantity in such good price is awsmm for students. boiling is very quick sad part is outer body also get too hot which makes inconvenience. it was three days since purchase and till now I have made tea, boil water, Maggie and soup. it's very easy to handle if you r good at cooking.i love the packaging and delivery was also quick. so overall i love the product and rest depend on how long it will work. Thank you flipkart.READ MORE"
1,5,Using it for more than a year ( bought it on 2015 billion sale).Very much satisfied. All praise for flipkart and for the price ( rs.500  only) paid.READ MORE
2,5,It's nice...READ MORE
3,4,Nice product n easy to use strongly recommended overall satisfied with it.READ MORE
4,4,Very nice productREAD MORE
5,3,"This is good product 👍 The delivery boy was so honest, friendly and well mannered ❤️ Thank you Flipkart 🤗READ MORE"
6,5,"The good part is , it is easy to clean inside of the jug.READ MORE"
7,5,This product is really good.  I am fully satisfied with it...  i bought this to use hot watr whn i hv cold...  really it s helpful.. within seconds it is getting ready... thank you so mch flipkart... 😍😘READ MORE
8,5,Good productREAD MORE
9,4,Good productREAD MORE
10,5,This product is owsam but  botel is quickly heatREAD MORE
11,5,Nice product.....working well...very satisfied...READ MORE
12,5,Just go for it this is best kettle in Flipkart. I write this review after usage of 1 week.Pros:-1)Best build quality2)Thicker steel jar3)Quick heating4)Auto cutoff power function when liquid temperature reaches a max limit.Cons:- steel jar also got heated Overall it is best product in this price range highly recommend to anyone who wanna purchase kettle.READ MORE
13,4,Hostelwala Maggie tasty 😋READ MORE
14,5,Very useful and efficient.It works very fast.Lots of options are there after heating water through this kettle it works accurate and time saver also.I like it.READ MORE
15,5,This Product is to GoodAnd The Company is to MuchREAD MORE
16,5,Nice product at this price range... it works properly and also automatic off system is also is good working... steel quality is better at this price.. overall nice productREAD MORE
17,5,EXCELLENT PRODUCT. .GOOD PACKAGING. .IN THAT BOX THE ORIGINAL AMOUNT IS RS 800..BUT FLIPKART GIVES IN DEAL OF RS 599..AWESOME. .    PREPARATIONS:1.WATER BOILING2.TEA MAKING3.NOODLES4.MILK BOILING5.EGG BOILING                        *****GOOD PRODUCT VALUE FOR MONEY******                                            (((RECOMMENDED STRONGLY))))READ MORE
18,5,Best product in affordable prize... to boil 1.5 liter water it takes 4.30 minutes.delivered within  2 days and also got replaced one..thanks to flipcartREAD MORE
19,4,Pros : 1. 1.5 litre2. Easy to clean3. Auto Cut facility4. Cheaper than other brands5. Good DesignCons :1. Body get warmREAD MORE
20,3,product is good but lid quality is very poor ..it has no strong connection with the kettle.it was broken only in the 3rd day of useREAD MORE
21,5,NiceREAD MORE
22,5,It's really good. You can boil water in mere seconds. You can also cook Maggi in it. But do not boil milk!!This is my first try Maggi. You can cook better in consecutive attempts..READ MORE
23,5,"Must buy, the build quality and heating speed is very good and attractive look , the blue lights are awsomeREAD MORE"
24,4,Have been using it since 3 months.. It's a v good product.. Easy to handle.. Has a short cord.. But I'm happy with the product...READ MORE
25,5,good product of pigeonREAD MORE
26,5,"Product is good with auto cutoff feature. Heats up water quickly. Seems sturdy , power cable length is adequate could be a bit long though. Bang for the value in budget.READ MORE"
27,5,worth of money even you boil milk alsoREAD MORE
28,5,Best productREAD MORE
29,3,The product was okay okay 👍READ MORE
30,3,I am a hostler.  so it is very useful for me.you can make Maggi boiling eggs Bolling milk by this kettle. this is a good product but it's packing is very poor.READ MORE
31,5,very good quality productREAD MORE
32,4,Need lengthy wire. Half meter wire is not enough.READ MORE
33,4,it got heated more from outside also. And product is ok not that good. valuable for the money.READ MORE
34,3,"ProsBoils water very fastCan be used to Boil Milk  and make MaggieConsThis product was made only to boil water. So while  heating anything else, one has to be careful as things may get charred.Cleaning is a difficult job.Product is a bit delicate especially the lidREAD MORE"
35,4,Base stand is very thin like easy breakable let's see how long it will last Heating is goodREAD MORE
36,4,"Oct 2018Good kettle. Worth the money. Boils water fast but it's a bit noisy when it's boiling. The body & handle gets heated up a bit but it's not that you can't touch it.Have been using it everyday from the day it reached..am happy with it. Also looks good.Feb 2019it's been 4 months using the kettle. everything is fine but the body of the kettles getting rusted on the edges, else it works great!READ MORE"
37,5,A very good product. I was inspired to buy one after my foreign trip to London. This was exactly like the one we used in our apartment at London. Easy handling and very safe. Go ahead and buy it.Worth the money .READ MORE
38,5,its a good product... well in condition and very useful to save time and easy to handleREAD MORE
39,5,Nice prodectREAD MORE
40,5,looking beautiful and good quality....1st day very happy to use this kettle....I used 1.8lts kettle before...but this is very compact size and value of money..... Packing is very good by Flipkart...Thank you Flipkart....READ MORE
41,5,VERY good product 🥰🥰🥰🥰🤗🤗 super nice and beautiful 🤩❤️READ MORE
