,ratings,review
0,5,Nice productREAD MORE
1,1,Product not working after 2 monthsREAD MORE
2,1,Very poor quality 😞READ MORE
3,5,It is very good. Boiling water very fast. Auto cut off once boiled. Overall go for it.READ MORE
4,4,Good under budget.READ MORE
5,3,OkREAD MORE
6,4,It's was great.READ MORE
7,5,It's worthyREAD MORE
8,5,I'm happyREAD MORE
9,5,Very nice 🙂🙂READ MORE
10,4,Very nice productREAD MORE
11,4,Product is very good 👍😊READ MORE
12,5,Very good productREAD MORE
13,4,OkREAD MORE
14,5,Best qualityREAD MORE
15,3,What type of kettle is this?...it didn't even heat up the water... Only just the button becomes red  and doesn't  heat up the water or whatever i put in it... what a useless product...READ MORE
16,1,Bottle is Barry badREAD MORE
17,5,Good woREAD MORE
18,5,NiceREAD MORE
19,4,Very good in this range with waterREAD MORE
20,1,Damaged productREAD MORE
21,5,OkREAD MORE
22,5,NYC productREAD MORE
23,1,Worse product.......... within 15 minutes  water is as it indicator lights is on but kettle is not workingREAD MORE
24,5,Kettle is OsamREAD MORE
25,4,Awesome productREAD MORE
26,5,Valuable productREAD MORE
27,1,Worst service and product tooREAD MORE
28,5,Best quality and product 100% great quality genuineREAD MORE
29,4,Quality is good.  Electric wire is very very smallREAD MORE
30,4,Product is good But the wire is too short....READ MORE
31,5,Very nice kettleREAD MORE
32,4,Nice itemREAD MORE
33,2,"It's a bad item, waste off moneyREAD MORE"
34,5,Gud product amezing 😘READ MORE
35,4,Very nice 👍👍READ MORE
36,2,"Product not ok safety,  due to after heater cut off over heat opener side.READ MORE"
37,5,GoodREAD MORE
38,5,GoodREAD MORE
39,5,Good and best qualityREAD MORE
40,5,AwesomeREAD MORE
41,5,easy to useREAD MORE
42,5,Very good product.Go for it.Thanks to flipcartREAD MORE
43,3,NiceREAD MORE
44,4,Superb qualityREAD MORE
45,5,GoodREAD MORE
46,1,Very bad product quality only 20sce heating it's broken and leaking water...very bad quality...READ MORE
47,3,Bottle is not goodREAD MORE
48,5,Good product at reasonable priceREAD MORE
49,1,Not good productREAD MORE
50,5,NiceREAD MORE
51,5,So good and nice productREAD MORE
52,5,Good product value for moneyREAD MORE
53,4,Good workingREAD MORE
54,5,Good product.READ MORE
55,5,Very good 😊READ MORE
56,5,NiceREAD MORE
57,4,Very goodREAD MORE
58,4,Very good 💯😊READ MORE
59,4,Value of moneyREAD MORE
60,1,"Product is not good....the lid very loose and the lid is cheap plastic....when we boil water it smells plastic bcz lid don't have any metal it's just plastic.....very disappointing ,the product of pigeonREAD MORE"
61,5,Good product I am happy 😀😀😀READ MORE
62,5,Lajawab productREAD MORE
63,4,NiceREAD MORE
64,5,Nice lookingREAD MORE
65,5,Very good prREAD MORE
66,4,Good productREAD MORE
67,5,Nice 👍 quality 👍READ MORE
68,5,Best qualityREAD MORE
69,5,Nice..READ MORE
70,1,Bild quantity not good don't purchase anyoneREAD MORE
71,5,Very nice product in a affordable priceREAD MORE
72,4,GoodREAD MORE
73,5,Very familiarREAD MORE
74,4,OkREAD MORE
75,3,Very goodREAD MORE
76,4,Good qualityREAD MORE
77,4,Value for moneyREAD MORE
78,4,Nice 👍READ MORE
79,5,GoodREAD MORE
80,5,Good product..it's worthREAD MORE
81,4,NiceREAD MORE
82,5,Vary goodREAD MORE
83,5,love dishREAD MORE
84,1,After one month not workingREAD MORE
85,1,Low  workREAD MORE
86,1,Very bad productREAD MORE
87,5,Very goodREAD MORE
88,5,Great productREAD MORE
89,5,Stunning product 👌👌👌READ MORE
