,ratings,review
0,1,Product not working after 2 monthsREAD MORE
1,1,Very poor quality 😞READ MORE
2,1,Bottle is Barry badREAD MORE
3,1,Damaged productREAD MORE
4,1,Worse product.......... within 15 minutes  water is as it indicator lights is on but kettle is not workingREAD MORE
5,1,Worst service and product tooREAD MORE
6,1,Very bad product quality only 20sce heating it's broken and leaking water...very bad quality...READ MORE
7,1,Not good productREAD MORE
8,1,"Product is not good....the lid very loose and the lid is cheap plastic....when we boil water it smells plastic bcz lid don't have any metal it's just plastic.....very disappointing ,the product of pigeonREAD MORE"
9,1,Bild quantity not good don't purchase anyoneREAD MORE
10,1,After one month not workingREAD MORE
11,1,Low  workREAD MORE
12,1,Very bad productREAD MORE
13,1,Very Very poor quality don't want this productREAD MORE
14,1,Worst product ever.... Please don't waste your money.READ MORE
15,1,Worst productREAD MORE
16,1,Cattle was good but water bottle was totally useless I would  suggest never buy a combo of this product.READ MORE
17,1,Don't buy this stop working within monthREAD MORE
18,1,This product is very bed not Power onREAD MORE
19,1,Worst product. Not working. Within a month.READ MORE
20,1,Very badREAD MORE
21,1,Use less not working booked 2 times but worthless also time wasteREAD MORE
22,1,"Not proper working, ON - OFF switch not working, and direct power supply it is dangerous....READ MORE"
23,1,"3rd class product,heating problem,no heating only light is on within a month ,READ MORE"
24,1,Quality is Very poor... Flowing Current in all metal parts.... Don't buy ever😡READ MORE
25,1,Worst product Poor qualityREAD MORE
26,1,Quality not goodREAD MORE
27,1,Got damaged in 2 months🙂READ MORE
28,1,Extremely poor quality of material... Water after boiling has weird smellREAD MORE
29,1,Low quality productREAD MORE
30,1,very bed items i have use only 10 days after 10 days its not working bed serviceREAD MORE
31,1,Defective product coil is burnt within 3 monthsREAD MORE
32,1,Quality not goodREAD MORE
33,1,On-off power switch is not working after 8 days of purchase.So pathetic product from pigeon.Always buy branded don't go for cheap like these.READ MORE
34,1,Start leakage on heating the waterREAD MORE
35,1,WorstREAD MORE
36,1,Damage productREAD MORE
37,1,Product is notREAD MORE
38,1,This product is of very poor quality and got damaged within a week. Please take it back.READ MORE
39,1,Very chif qualityREAD MORE
40,1,"Not working, not heating waterREAD MORE"
41,1,"Product is, having leakage qualities very badREAD MORE"
42,1,Not good productREAD MORE
43,1,Very bad quality 😢 2 week breking onlyREAD MORE
44,1,Electric cap is not workingREAD MORE
45,1,Leaking waterREAD MORE
46,1,Waste of moneyREAD MORE
47,1,Poor qualityREAD MORE
48,1,"Worst prodect, and very very worst dispatch methodREAD MORE"
49,1,It gives me Electric ⚡ shock 🤒 before and after replacement both productsREAD MORE
50,1,"Product delivered without check, replace first due to indicator not working. Replaced product also defective water leakage problem in this also. Home service also not available you have to visit service centre, so as per me wastage of money and time after buying this product/brand.READ MORE"
51,1,Don't buy...local product after 1 week use it has current issueREAD MORE
52,1,It is leakage from jointREAD MORE
53,1,bhai not good when you boil water in this it creat noise too much not recommendedREAD MORE
54,1,Water bottle quality is not goodREAD MORE
55,1,Not good steelREAD MORE
56,1,LeakREAD MORE
57,1,It's not working now so bad experienceREAD MORE
58,1,Don't buy thisREAD MORE
59,1,"Honestly I used it for the last 2 months and now it's not getting heated, and remember no customer care and no service. I have a complaint against it but no solution yet . So I suggest it's totally waste of money...READ MORE"
60,1,Cheap qualityREAD MORE
61,1,Work stopping same day.READ MORE
62,1,leakage problem where the water is come outREAD MORE
63,1,After 1 month not workingREAD MORE
64,1,Very bad product. wastage of money.READ MORE
65,1,Thormos is not good qualityREAD MORE
66,1,Bad product please not buy this product. Not a good build quality 😕😔READ MORE
67,1,Very badREAD MORE
68,1,"Bad prodct,no riturn only replasmnt,very smallREAD MORE"
69,1,Foolish productREAD MORE
70,1,Very low qualityREAD MORE
71,1,WorstREAD MORE
72,1,"Not a very good experience. It has heating coil issues. This is the second time I am facing this issue within a span of 9 months. Also, no customer service given by pigeon. The company just keeps you hanging. Better to buy other company kettle.READ MORE"
73,1,It worked only for 45 days and since then stopped workingREAD MORE
74,1,Waste of money quality laydhuREAD MORE
75,1,"Very bad quality,not upto mark👎READ MORE"
76,1,Had a very bad experience with this kettle. It is only useful for boiling water not for milkREAD MORE
77,1,Waste of money.... I lost hope on this brandREAD MORE
78,1,There is no service centre in Noida I have purchased this kettle before 2 month and now this Kettle is not working and pigeon service centre not support with me and flipkart also not support totally waste of moneyREAD MORE
79,1,Coil damaged within 15 days ... Waste product....READ MORE
80,1,This product is not goodREAD MORE
81,1,Very bad quality of pigeon products 3 products purchase on pigeon brand but very bad quality of pigeon products not any one products purchase pls 😭😭READ MORE
82,1,Very poorREAD MORE
83,1,Poor qualityREAD MORE
84,1,i gives noise only afwtr a weekREAD MORE
85,1,Not working 😔READ MORE
86,1,Not auto cut advertising is falseREAD MORE
87,1,Bad Quality Waste Of MyREAD MORE
88,1,The bottle which came with the kettle is of real poor quality. once the hot water is filled we can't even hold the bottle because of the heat.bottle also becomes so hot. The plastic base of the kettle is also of poor quality material.And there is no option for a refund even if you don't like the kettle or bottle.So my opinion is buy it at your own risk .(Better flasks and kettle  in this price range is available in the market)READ MORE
89,1,"Very bad product, leakage problemREAD MORE"
