,ratings,review
0,4,"4Update: I am using it till now(July,2019) and I came with:These plus points:1. No stitch is broken till now.2. Even after heavy rough usage, bag is still intact.3. No zipper-related problems.4. No problem with straps.And These problems:1. Bag is getting dirty and dirt is not coming off even after wash.2. Mesh pocket got torned, no way to recover those.3. No-Laptop section creates a big problem for me.Old Review:I bought this after watching several other bags.Pros- 1. Quite good ...READ MORE"
1,5,"5perfect .. stylish..not too big not too small.... suitable for college, travel....5 out of 5 star.READ MORE"
2,5,5not bad 😉READ MORE
3,5,5This bag is just amazing.I never seen the american tourister like thisAnd hatsoff to flipkart my delivary is mindblowing.Thank you flipkartREAD MORE
4,5,5Product delivered safely.The bag is very beautyful and strong also.Moreover I love american Tourister.Good Flipkart.READ MORE
5,4,"41. Bought this in big billion days at a price of Rs. 802 with Rs. 81 PhonePe cashback making the effective price of Rs. 721. At this price it is a very good deal.2. The first thing you'll notice, is it's vibrant colour which is very attractive.3. It has three compartments and a small front pocket. But the material used within the compartments is very thin.4. Straps are well cushioned and adjustable.5. However, the size is quite small, not looks like 32 liter.Verdict: If found in a good d...READ MORE"
6,5,5all my frnds luv this bag 😍😍READ MORE
7,5,5Good 👌👌READ MORE
8,4,4good and speed delivery...but quality is poor ...iREAD MORE
9,5,5Very good for travelREAD MORE
10,5,5very nice product by FlipkartREAD MORE
11,5,"5Nice Product, Good Quality, Good Space, Decent  Color, No Rain Cove 🚫, Overall Good Product 👍READ MORE"
12,5,5excellent school bagREAD MORE
13,5,5good bag fast devilery from flipkart thank you🙏💕. awesome bagREAD MORE
14,5,5Good choice go for itREAD MORE
15,4,"4Colour is slightly different and according to me if this is come under price 900 then this is value for money ,but overall good product.READ MORE"
16,5,5really worth the price ....I purchased in discount....I'm 6ft tall boy ....nd it's perfectly fit Nd looks cool.....go for it..... amazingREAD MORE
17,5,5Very nice 👍👍👌      ..... it's osm product 💗👍READ MORE
18,5,51 small pocket on the front1 large pocket on front2 big portion2 days clothes are easily fit in this bag.good product at this cost.READ MORE
19,4,4Very niceIam happyREAD MORE
20,5,5Perfect bag in less price with awesome n stylish look.... I recommend it to buy...... #AmericanTouristerREAD MORE
21,5,"5I have fallen in love with this bagpack. It have fulfilled all my needs. Flipkart gaved me a great deal and the delivery was superfast. I live in a small town still flipkart manages to deliver ir within 3 days. now let's talk about pros and consPros:-1. awesome quality from American Tourister, as what you can expect from such a brand.2. ample amount of space, I usually use this backpack for my travel needs and store a lot of things(actually more than a lot, weighing at least 5 kg includi...READ MORE"
22,4,4its very nice bag and delivery is very fast but its material is not so good its my opinion but your may be differentalthough its goodREAD MORE
23,5,"5awesome Bag, simply best and worth for money, Light weight, speedy delivery by Flipkart, Thanks Flipkart.just u sell rain cover for this bag than its 👌.READ MORE"
24,4,4very good productREAD MORE
25,5,5Awesome product.READ MORE
26,5,5Very nice quality bag and good for senior students.Colour is very good better than shown in the picture.I love it very much. Stylish!!READ MORE
27,5,5Very good quality bag. I got this bag only in 422Rs in Big billion days saleI love it.The quality is very good and looking is also nice 👍And it's original with 1 year brand quality.READ MORE
28,5,5It's just amazing....... And wow..... I love this purchase......READ MORE
29,5,"5💯Must buy,very nice quality, good space and very nice look😎😎 .My friends like this bag. This is my favorite bag😘😘. This is best for std 8,9 and 10th.I am very happy to buy this bag 😊😊😊😊.💯💯💯READ MORE"
30,5,5I'm very happy to have this .It is such an extremely amazing product.Every penny is worth its value as I had expected.Thank you Flipkart for this product.The colour is far more beautiful than seen in the picture.Fast delivery and best quality and defenitely my further purchases will be from Flipkart.READ MORE
31,3,3Good quality bt rain cover is not present.. Bt it is cool style..READ MORE
32,4,4the bag looks cool and comfortable to wear and it's too big so I can put all my books in hereREAD MORE
